response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
"Farewell, Solen'ya.",Tell them we were robbed.,Agency Director,Is the helicopter here?,Agency Director,I don't think so. See you soon.,Pickle Rick,Jaguar was an animal. You're an intelligent pickle. We can do business.,Agency Director,"Huh, so you're a liar.",Pickle Rick,Jaguar's daughter is dead.,Agency Director,"Take that money, give it to Jaguar's daughter when you set her free. Or I'll be visiting you.",Pickle Rick
I-I'm just trying to figure out why you would do this. Why anyone would do this.,"Morty, stop digging for hidden layers and just be impressed. I'm a pickle.",Pickle Rick,"All right, well, do pickles live forever or --",Morty,I wouldn't be much of a pickle if I could.,Pickle Rick,"Well, can you move? Can you fly?",Morty,"I don't do magic, Morty, I do science. One takes brains, the other takes dark eye liner.",Pickle Rick,"Are you going to, I mean, you know, is this the first part of some magic trick?",Morty,"Who cares, Morty? Global acts of terrorism happen every day. Uh, here's something that's never happened before",Pickle Rick
"Rick, here's--",When I--,Cornvelious Daniel,"I admire you, Rick--",Cornvelious Daniel,Relaxed enough?,Rick,Or the Series 9000 is going to turn it into mush.,Cornvelious Daniel,Shoney's.,Rick,"Oh, I think you do. Eventually, you're either gonna relax your cerebellum.",Cornvelious Daniel,"Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain.",Rick
"The racetrack had a starlit derby, there's a seven horse collision, and Davin's there alone.",This late?,Jerry,"But I obviously sort of love you, don't I?  So stop asking and maybe I'll love you more.  Crap, They need me at the horse hospital.",Beth,Sort of.,Jerry,"Loving you is work, Jerry, hard work, like building a homeless shelter. Nobody want to say ""no"" to doing it, but some people put the work in. So what do ya say? Do you see me working here? Does this conversation seem tedious to me?",Beth,"Wait, iii... is loving me the house or the homeless people?",Jerry,"Then what good was the ""yes""?",Beth,Noo.,Jerry
"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird.",I'm a full season behind.,Rick,Uh-oh! Spoilers!,Rick,You don't know me!,Mrs. Pancakes,"' Nice, Mrs. Pancakes real nice.",Mr. Goldenfold,You don't know me!,Mrs. Pancakes,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me.",Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it.",Rick
"Omigod, Morty. You look REALLY nice tonight.","Hey there, Jessica.  Whooa-whoopsie!",Morty,"The racetrack had a starlit derby, there's a seven horse collision, and Davin's there alone.",Beth,This late?,Jerry,"But I obviously sort of love you, don't I?  So stop asking and maybe I'll love you more.  Crap, They need me at the horse hospital.",Beth,Sort of.,Jerry,"Loving you is work, Jerry, hard work, like building a homeless shelter. Nobody want to say ""no"" to doing it, but some people put the work in. So what do ya say? Do you see me working here? Does this conversation seem tedious to me?",Beth,"Wait, iii... is loving me the house or the homeless people?",Jerry
For everybody.,For everybody.,Rick,"Oh, God, Dad, that is not your burden to bear. I feel terrible that I misjudged you. This is gonna be good for Jerry.",Beth,"Oh, I-I'm sorry to hear that, sweetie. I hope I had nothing to do with that.",Rick,Jerry's going to spend some time divorced.,Beth,"What the fuck? Not cool, Jerry! A man's garage is his castle.",Rick,"Seems like you guys need some privacy. I'll, uh -- I'll be in the garage.",Rick,"Beth, it's him or me!",Jerry
AAAAAAAHHH!!!!!,Scaring you?,Snuffles,"Okay, Snowball, just calm down, okay? You're scaring me.",Summer,"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Snuffles,Do not call me that!,Snuffles,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?",Snuffles,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Rick,Ohhhh!,Morty
"Yeah, it is. You know why, Rick? Because when you're an asshole, it doesn't matter how right you are, nobody wants to give you the satisfaction.","Thank you. I appreciate it, Morty. I know you were sucking the Kool-Aid out of the Vindicators' dicks, so the fact that I was right about them must be pretty hard to admit.",Rick,"Oh, I don't know. You managed to destroy just about everything today; the villains, the heroes, the lines between them, my childhood...",Morty,"Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything.",Rick,"You always put it in the weirdest place! Um, uh, over here, maybe?",Morty,Where the fuck is the lead wire?!,Rick,That's a three-pointer!,Drunk Rick,"Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife!",Alan
"Good pitches, kids. I'm almost proud. But watch closely as Grandpa topples an empire by changing a one to a zero.","Ooh, or -- or reprogram their military portals to disintegrate their entire space fleet?",Morty,Are you going to set all their nukes to target each other?,Summer,Destroying the  galactic government.,Rick,"So, what are you doing with level-nine access anyways?",Morty,"Employee of the month, ladies and gentlemen.",Rick,Not until I finish what I started. And that is how you get level-nine access without a password.,Rick,Can't we just portal home?,Summer
"Huh, what do you know, it's working","Whatever you're asking, the answer is I'm amazing. And away we go!",All Ricks,"Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.",All Ricks,We “isn't”,All Ricks,Or?,Morty 2,Or...,Morty 1,"Look, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be “is”.",All Ricks,And you did it so you could clean the house after a party?,Morty 2
"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?",Morty,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Rick,Ow! Ow! You're tugging me too hard!,Morty,"Come on, I got a surprise for you.  Come on, hurry up.",Rick,It's the middle of the night. What are you talking about?,Morty,"I got a surprise for you, Morty.",Rick
"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,Morty,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",Rick,What?! A bomb?!,Morty,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.",Rick,"Yeah, Rick... I-it's great. Is this the surprise?",Morty,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Rick
"Yeah! Thanks, Rick. I'll try to remember to shut off the brainalyzer. Actually, I think it shuts off automatically once your brain is liquid. Don't know, don't care. Pull me out.  Hey, pull me out! Can you hear me?","Awesome-possum.  Mission Control, you getting this?",Cornvelious Daniel,Yeah. That's the three lines of math that separates my life as a man from my life as an unfeeling ghost.,Rick,"Whoa. I-Is that it, the portal gun?",Cornvelious Daniel,"Carry the three, add a two. I got it. I fucking got it.",Young Rick,Wow. This sauce is fucking amazing. You said it was promoting a movie?,Cornvelious Daniel,Nooooooo!,Young Rick,"Come on, girls! The ice cream's gonna melt.",Young Rick
"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Morty,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Morty,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,Rick,"Oh, no, Morty. His subconscious is panicking.",Rick,Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Mr. Goldenfold,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,Rick,"Goldenfold, we're coming out! We just want to talk!",Rick
Rick?,Morty.,Pickle Rick,I am Phoenixperson.,Birdperson,"I want that McNugget sauce, Morty!",Rick,What are you talking about?!,Morty,"For 97 more years, Morty!",Rick,What is that?!,Morty,"Season -- Nine more seasons, Morty. Nine more seasons until I get that dipping Szechuan sauce.",Rick
Nothing?! We exterminated a planet!,Nothing!,Supernova,"Uh, what happened on Dorian 5?",Morty,Goddammit!,Supernova,"Huh, I'm seeing more croc than bot here.",Rick,"Crocubot, don't!",Supernova,"The Vindicators say their job is is to fight evil wherever it hides, but they don't... pick the location you'll... you'll never even hear them mention, because to fight darkness is to fight yourself.",Drunk Rick,"Ahh, it would've been if I hadn't.",Rick
"Holy shit, now what?","Shh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!",All Ricks,Jesus...,Vet,"Jerry, if you're not gonna help, get the fuck out of here! I will reach into heaven and yank your screaming deer soul back!",Beth,She normally works on horses.,Jerry,Who's this now?,Vet,"You son of a bitch, you don't stop living until I SAY SO!",Beth,"Oh God, now there's three of them, we're outnumbered! Get in the cupboards! Wait, don't don't do that, they'll know... wait wait, think about getting in the cupboards but don't really. AAAAH IS THIS WHAT YOU WANT YOU SICK FUCKS? YOU WANNA SEE CHILDREN DIE?",All Ricks
Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",Snuffles,AAAAAAAHHH!!!!!,Summer,Scaring you?,Snuffles,"Okay, Snowball, just calm down, okay? You're scaring me.",Summer,"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Snuffles,Do not call me that!,Snuffles,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?",Snuffles
"We captured that taste, and we keep giving it to him so he can give it right back to you, in every bite of new Simple Rick Freedom Wafer Selects.  Come home to the unique flavor of shattering the grand illusion. Come home to Simple Rick.","He made us all take a look at what we were doing, and at the bargain he got a taste of real freedom.",Narrator,"There's a Rick who held a factory hostage after murdering his boss and several co-workers. The factory made cookies, flavored him with lies.",Narrator,Where are we going?,Rick J-22,Fifteen years.,Rick J-22,Rick. And I'm--,Rick J-22,"Then come and get me, motherfuckers!!",Rick J-22,A portal to the Blender Dimension?! That's the oldest trick in the book! I'm a Rick! I'm more Rick than any of you!!,Rick J-22
What the hell?,1.77245385... Whoa!,Morty,"The square root of Pi, Morty. Go!",Rick,"Oh, come on, Rick. You know I can't.",Morty,"Morty, t-tell your parents the square root of pi.",Rick,"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once.",Morty,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",Jerry,I do?,Morty
"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty.","Oh, geez, Rick. W-w-what'd you do to Frank?",Morty,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.",Rick,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it.",Morty,"Uh, morning, Frank.",Morty,Not my fault this is happening.,Mr. Goldenfold,Je-Jessica. Jessica.,Morty,"Five more minutes of this, and I'm gonna get mad.",Mr. Goldenfold
"Yeah, it’s possible that we may have been correlating some things that weren’t actually related at all.",Did he just say “musical reality show”?,Mr. Goldenfold,"After 988 seasons of Planet Music, the Cromulons have decided to declare Earth the final winner and bring our musical reality show to a conclusion. Goodbye!",Cromulon,Ohhh my GOOOOODDDD!!!,Principal Vagina,Say it with me!,Rick,Ohhhh yeahhhh!,Morty,"Come on, here we go!",Rick,Ohhhh yeahhhh!,Morty
It was?,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.",Rick,"Oh, thank god.",Morty,"We'll park it right here, Morty. Right here on the side of the ree... road here.",Rick,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,Rick,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.",Rick,"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!",Morty,"Get off of me, Morty!",Rick
"Ugh, y-you're probably confused because we barely know each other...","Goddammit, why am I crying? It makes no sense.",Drunk Rick,"Sorry, I'm... not good at goodbyes. It looks like I'm never gonna see you again. I can't really roll with the hero types, and I don't... th-they don't want me around. But I want... you to know, even if I didn't show it at the time, II really appreciated you sticking by me.",Drunk Rick,"Oh, shit.",Rick,"Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or...",Rick,I'll cover that bet. I get it.,Morty,But you're betting our lives on it.,Supernova,"Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got.",Rick
She's gonna be alone with that guy all night.,LET ME GO!!! I LOVE YOU MORTY!,Brad,Who cares? Just hold me.,Jessica,"Uh, sure. I mean, of course not. What do you think that was all about?",Morty,"Never leave me, Morty, NEVER.",Jessica,"Oh, Principal Vagina.",Brad,That's enough Bradley. We don't want you injuring your ball-throwing arm.,Principal Vagina,BACK OFF I'M TRYING TO BE WITH MY MAN!,Brad
"His name is Simple Rick, but he’s no dummy.","Sixteen iterations off the central finite curve, there’s a Rick that works more with wood than polarity plating.",Narrator,Man. Glad I’m not one of them!,Morty,"Well, you can keep wondering that while we go on our fun, fresh, self-contained adventure to Atlantis.  Anyone continuing to explore the Citadel is either stupid, or one of the unfortunate millions held hostage by their terrible ideas.",Rick,Geez. I didn’t know there were still Ricks and Mortys living on the Citadel. I wonder what their day-to-day lives are like.,Morty,You don’t have to be a dick.,Rick,Every day.,Rick,"Yeah, he knows. He murdered them.",Morty
"Whoa! Hi, Jessica.","Hi, Morty.",Jessica,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3",Mr. Goldenfold,"Okay, good. It's time for the quiz.",Mr. Goldenfold,Jessica.,Morty,Five plus five.,Mr. Goldenfold,Jessica.,Morty,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.",Mr. Goldenfold
Geez...,"As a vet, I'm sure you know a deer is closer to a horse than you are to a doctor, so let's save the measuring for when our dicks are out, it's time to save a life!",Beth,"That's my nurse, and as a horse surgeon, I'm sure that you know that deer have much smaller, much more intricate organs-",Vet,"I'm a certified horse surgeon, and this deer needs medical attention. Nurse, please move that snake.",Beth,"Three. Excuse me, you can't be back here.",Vet,"Emergency, wounded deer coming in.",Beth,"Alright, cool it, I see what's happening here. You're both young, you're both unsure about your place in the universe, you both wanna be “Grampa's favorite.” I can fix this. Morty sit here, Summer, you sit here. Now listen, I know the two of you are very different from each other in a lot of ways, but you have to understand that as far as Grampa's concerned, you're both pieces of shit. Yeah, I can prove it mathematically. Actually, let me grab my whiteboard. This has been a long time coming anyway.",All Ricks,Me? What about you? Would you get more excited to see me fail? You want Grampa all to yourself!,Summer 1
I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Summer,Ooooyayawawa!,Snuffles,"Aw, he's saying ""I love lasagna"".",Jerry,Aaaawwaaaaawaawa!,Snuffles,"Oh, my God! He's trying to tell us something.  That is so awesome.",Summer,Ooowwwwowowwaawaa!,Snuffles,"You said the same thing, equally sarcastically, at our wedding and guess what?",Jerry
What if I told you there's a huge ticket up right behind you?,"You think I wanna be an omniscient immortal being transcending time and space my whole life? I got ambitions man, bringin' you guys in is my ticket up.",Testicle Monster A,Why are you doing this?,Morty,"Uh-huh, no motha- no, Earth, dude, I'm talking 'bout, yeah, with the dinosaurs. No, if you've get to the dolphin people, you've gone too far. Alright man, I'll talk to you later, okay.  You know what they do with 3rd dimensional life forms in time prison? Same thing they do in every other prison, only forever.",Testicle Monster A,We did it...,Jerry,I guess that's the end of that.,Vet,"Honey, it's gonna be okay. These men are from the Cervine Institute of Elk, Moose Deer and Stag. They can take this deer to a helicopter and fly it to the country's top deer surgeon on a wildlife reserve across the state border, where your jurisdiction ends.",Jerry,Isn't there a kitten somewhere that needs a manicure?,Beth
How did this happen?,"What the fuck?! Your time is all ripped up to hell! You broke your time, twice!",Testicle Monster A,"Ey, ye ey, quit yellin' quit yellin'.",Testicle Monster A,It's a monster!,Summer 1,It's a monster!,Morty 2,"Oh, my God!",Morty 1,"You know, geez Rick, y—y—you're really tearing into me right now. You know, words hurt.",All Mortys,"Because I waited until I was certain it was what I wanted to do, Morty. That's the difference between you and me. I'm certain, and you're a walking burlap sack filled with turds.",All Ricks
"Rick, you have something to add to the briefing?","Rick, stop!",Morty,"Oh, that's Million Ants. I can't see the ants over here. It just assumed that was, uh, Turd Man. Wiggly Turd Man.",Rick,"...the Terraneus system. Once in range, Million Ants will scan for pheromone activity, which should lead us to the location of the base.",Supernova,Rick!,Morty,My balls.,Rick,"..and this time, he's out to end more than worlds. We have reason to believe his stronghold is located on...",Supernova,"Vindicators, Worldender is back...",Supernova
Morty?,"Morty, the garage, Morty. Come to the garage!",Pickle Rick,"Rick? Are you far away, or are you inside something?",Morty,"Hey, Mooorty!",Pickle Rick,Rick?,Morty,Morty!,Pickle Rick,Rick?,Morty,Morty.,Pickle Rick
"Whoa, ow, ow.","Ow, ow ouch!",Summer 1,"Huh, what do you know, it's working",Rick,"Whatever you're asking, the answer is I'm amazing. And away we go!",All Ricks,"Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.",All Ricks,We “isn't”,All Ricks,Or?,Morty 2,Or...,Morty 1
Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",Rick,T-t-that's absolutely crazy!,Morty,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",Rick,What?! A bomb?!,Morty,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.",Rick,"Yeah, Rick... I-it's great. Is this the surprise?",Morty,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",Rick
"I dabble, Mr. President.",Sanchez! Are you a musician?,President,"Good luck, Mr. President.",Rick,Dear God.,President,What? How is that possible? Do people just die when I name them?,President,"For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps.",President,How do you know about that?,Nathan,You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51.,Rick
Ooooooohhhhh! Holy crap!,"Oh, here we go!",Rick,"Welcome to your nightmare, bitch! RAAAAAWWWRRR!",Scary Terry,"Geez, I don't know, Morty. Wha-what do you want from me?",Rick,What the hell? Why would Mr. Goldenfold's dream version of Mrs.,Morty,"Time to go another dream deep, Morty!",Rick,"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.",Summer,"It's Summer! Aw, geez.",Morty
"Alright, now, everybody get settled. Get away from the windows!",What? For real?,Jerry,"Oh, dad…",Beth,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.",Rick,"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",Jerry,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",Rick,"Oh my god, my parents are so loud, I want to die.",Summer,Beth!,Jerry
"He won't have to ask for it, okay? He won't need it. He'll just make more. He doesn't need anything from anyone.","It's not my job to take sides or pass judgment. Do you think when your father asks for that syringe, you could ask him --",Dr. Wong,"Oh, my God!",Morty,"That's the point of pottery-enamel huffing, Summer. You do it so you don't have to say ""I'm angry at mommy"" out loud.",Beth,I never said I was angry at you.,Summer,My kids pee their desks and suck on unbaked vases.,Beth,Your kids think it might be anti-pickle serum.,Dr. Wong,You're the one that costs $200 an hour. You tell me.,Beth
"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing.","All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?",Morty,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.",Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!",Rick,"HOLY CRAP, MORTY RUN!!!",Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—",Rick,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing.",Morty,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.",Rick
"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!",Rick,"Aw! Oh, my God! He recognizes the other dogs on TV.",Summer,I don't know. It's Indian giving.,Summer,Why not?,Jerry,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.",Summer,"Okay, yeah. I get what Beth was talking about. Fun's over.",Jerry,Snuffles want to be understood. Snuffles need to be understood.,Snuffles
What's wrong?,"Oh, my God.",Summer,Are you kidding me?! Come on!,Jerry,Outside?,Jerry,What? Why are you looking at me? You want to go outside? Outside?,Jerry,"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more adventures.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com.",Rick,"Ohh, man.  Oh, geez! Ohh.",Morty,"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty.",Rick
"The square root of Pi, Morty. Go!","Oh, come on, Rick. You know I can't.",Morty,"Morty, t-tell your parents the square root of pi.",Rick,"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once.",Morty,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",Jerry,I do?,Morty,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?",Jerry,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?,Rick
"You're a rogue Rick -- irrational, passionate. You love your grandkids. You came to rescue them.","That's a bluff. He's bluffing, sir. He loves me.",Summer,What -- What's this supposed to accomplish? We have infinite grandkids. You're trying to use Disney bucks at a Caesar's Palace here.,Rick,"That's enough, Rick.",Riq IV,"Morty, take this. You're gonna need it later.",Rick,Rick!,Morty,You're alive!,Summer,Duh!,Rick
"Oh, I think you do. Eventually, you're either gonna relax your cerebellum.","Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain.",Rick,"Man, I told the money bugs. I said, ""You know who this guy is, right? You want me to get intel out of the smartest mammal in the galaxy, you better give me a decent brainalyzer.",Cornvelious Daniel,"Six folds, huh? W-W-What, have you guys got me in a Series 9000? You cheap insect fucks didn't think I was worth your best equipment?",Rick,You got it.,Jerry,"Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times.",Rick,"Yeah, but you just got out of prison. I mean, how much of a step up from that is --",Jerry,"Emotionally speaking, honey, Shoney's is my home.",Rick
"I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math.  This head won’t go away until  Earth shows them it’s got a hit song.",Hey.,Morty,My name is Rick Sanchez. This here’s my grandson Morty.,Rick,Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery.,President,Stay back! This watch turns people into snakes!,Rick,"Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass!",Nathan,"Gentlemen, gentlemen, one at a time! Simon?",President,"Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house!",Mr. Goldenfold
"I thought your last Rick fused you with a lizard, not a chicken.","If we’re not here for graduation, our butts are gonna end up in Mortytown.",Lizard Morty,That’s a myth.,Glasses Morty,I say we make our last day count. I say… we go to the Wishing Portal.,Slick,"Guess we won’t be seein’ each other after this, huh?",Lizard Morty,"Anything’s possible, Tall Morty. Ugh…",Teacher Rick,"I see. So you are top of the class in something.  Tomorrow you will be transferred to your new Ricks. Hopefully, they will be your last. Yes, Slow Ri-- Tall Morty?",Teacher Rick,Five…,Slick
Why are you acting like that's not you?!,"Whoa, whoa, whoa. Hold on, Vance. He said you'd die if you tried to leave. That means there's booby traps.",Rick,Screw this. I'm not playing his game. I'm gonna find us a way out of here.,Vance,"Okay, here we go, room number one. The Vindicators are known throughout the galaxy, but do they know yourselves? Do you know yourselves? Match your... your shit, your... your gimmicks with your faces and y-you get it, it's a matching thing. And do it in three minutes, or you'll  all die.",Drunk Rick,"Well, I-I-I think we've seen enough. I'll just figure out how to unplug this.",Rick,"If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"".",Drunk Rick,"Morty I'm a drunk, not a hack.",Rick,"Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators?",Morty
Who cares? Just hold me.,"Uh, sure. I mean, of course not. What do you think that was all about?",Morty,"Never leave me, Morty, NEVER.",Jessica,"Oh, Principal Vagina.",Brad,That's enough Bradley. We don't want you injuring your ball-throwing arm.,Principal Vagina,BACK OFF I'M TRYING TO BE WITH MY MAN!,Brad,GET YOUR HANDS OFF OF HIM!,Jessica,"Whoa, take it easy!",Morty
"Ohh, man.  Oh, geez! Ohh.","Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty.",Rick,"Aw, man.",Morty,"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity.",Rick,"Holy cow, Rick. I didn't know hanging out with you was making me smarter.",Morty,You know what? Okay.,Beth,"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you.",Jerry,No idea what you're talking about.,Rick
"In your dreams, bitch! Scalpel!","Look, I don't know what the law says about this, but I took an oath that I would let no animal come to harm. Except when sterilizing, aborting or euthenizing them and also when eating them at almost any meal.",Vet,"May I help you, sir?",Vet,I mean it's been shot. With a gun.,Beth,"Uh, yeah, I was there, you don't have to rub it in.",Jerry,"That's odd, this deer's wounded.",Beth,Geez...,Vet,"As a vet, I'm sure you know a deer is closer to a horse than you are to a doctor, so let's save the measuring for when our dicks are out, it's time to save a life!",Beth
